contents,star
Not a useful app. it doesn't work to opan files labelled as binary files. Very disgusting.%,5
Not a useful option. It doesn't work to open files labelled as binary files. Very disgusting.,1
"Useful app. Seems correct working. But didn't understood why 2 methods are there. Also in method 2, when i click refresh button, it shows 2 4 8 16 32 but i haven't edited that file. Also when i open file using **open with** in file manager, two file viewer shows up without different name(method 1 and 2). All other thing are good but too much ads playing. I wanted such editor app which could open both ascii and binary files just like vim and nano editor but liked its hexedit analogy",4
"it sucked from the minute it was installed as it would not open to start anything kept giving error msgs re: the app had shut its self down,, restart and try again multiple times repeating same msg.. so after balie t.effirt in my part.. it still wouldnt ooen its self to start doing anything from finish of download and installing itself, i gave up on it.. not worth the effort to just start it.. kinda seems possible its symptomatic of a commie data info spyware trojan. Its pretty darned weird",1
It is even afraid of opening the bin file ğŸ˜‚. I even don't know what bin files does this app open.,1
Very very useless app for opening bin file. I really don't know does any bin file open in this app. I really want to give minus rating.,1
"It is a worst app ever I have never seen this type of disgusting app now let you know my problem is that it is showing so much adds and does not open the files easily and properly. So, please solve this issue of the app except it all things are well in this app.",1
Just plays ads and doesn't open files. When the Ad ends it goes back to the 'Select File' screen,1
"Doesn't even try to open and decompress BIN files, it's just full of pop-up ads and nonetheless, useless.",1
Doesn't work. Loaded with ads. Possibly malware. This should be removed from the store and the people who made it should be beaten.,1
"This app is very bad..I downloaded it for my study purpose but, while opening the file the file is fully blank",1
Opened it up and then Uninstalled it right away it DOESN'T WORK at all.,1
It is very bad app in the world. It is not working for bin files So don't download it apps. Rate of this app 0.,1
terrible can't even read a simple binary dump and ofcourse shows more ads than any other app I have used in past,1
Didnt realize that only opened number binary folders only.,5
"""Open file"" did NOT open file. Ads galore and no functionality.",1
It doesn't show or open any file and show many Ads it wasted my time a lot.,1
this is a worst app i am warning every one not to download this app use less i downloaded for study purpose then it only shows numbers not file .,1
"Could not even view a bin archive, went straight into error.",1
Didn't open the file and too annoying ads!,1
Only ads and don't-needed animations. Avoid this app.,1
Worst app that I've ever seen.. Useless app when I open my binary file that would blank...,1
HORRIBLE. ITS SLOW TO EVEN UNINSTALL. DO. NOT. DOWNLOAD. AND THE ADS.,1
"Terrible app, way too many ads and it didn't load my bin file from whatsapp",2
This app does not open bin files.... its full of ads only,1
Absolutely terrible why so many ads what the hell it literally doesn't even work so bad I can't believe I wasted my time no cap I didn't even try it because I saw the 1 star reviews i just installed it so I could write this review and give it 1 star I hope this was helpful uninstalled,1
"I thought I was downloading a way to access my 'bin' to clear it. However this is not the app I was after. I would imagine it's a good app for what it does though. I gave this app 5 stars to be fair to them, but I have not tried the app, I deleted it once I realised it was not what I needed.",5
Open file viewer & show file is empty. Not empty cannot convert,1
I'm sorry this app does not work none of the files open possibely malware so don't install this app,1
Waste of time and data,1
Worst app. Not a useful app.,1
Crammed with ads and doesn't open the file,1
"Has a very dangerous virus on it that tries to steal your banking information and Google play passwords, also reset my Facebook passwords",1
When I select the file in the application the application becomes crash or unexpectedly stopped.,1
Don't download it shows only numbers and not the file,1
Don't download it ..it's copying your data in the phone nothing else,1
It seems like virus has infected my phone after installing this app,1
It's only show ad ... Does not open any file....,1
"Doesn't open files, only shows ads",1
Wonderful application .and very use full ....,5
Opened no files. Scan system if you installed it stupidly,1
Doesn't work,1
please remove this app from the playstore. Its a fraud and does not serve its intended purpose.,1
Not working It's can't extracting 2GB bin file Stack in when 17.08,1
Stupid ad or something made it literally unusable,1
I does not open any file It waste my alot of time I just deleted it,1
Very bad app,1
indiscriminate and excessive propaganda when information is processed,1
This app doesn't open any bin filesğŸ§‘â€ğŸ¦¯,1
Always ads and ads Garbage app,1
Please don't install this app worst app ğŸ˜¡ğŸ˜¡ the file won't open at all please don't download this worst .......ğŸ˜¡......,1
Unable to open file... don't use this app,1
I would have given this app zero stars if there was an option. Remove this app from store please.,1
Very bad app only shows Advertisments...,1
"THANKS FOR THIS APP, Very useful, I got my lost exam application id thank youğŸ˜ŠğŸ˜Š",5
Worst app... Full of ads,1
Its a froudential app. Ads only. Nothing to do.,1
"Unusable, I don't know how they are advertising as a .BIN opener",1
Worst app ever file is not open ğŸ˜¡ğŸ˜¡,1
App didnt open files for some reason,1
It's can't open any bin file.,1
Shuts down on first file I select. Broken app.,1
Only ad play and nothing else,1
Not opening any file at all i think i waste my MB to download this app ğŸ¤”,1
This is very bad app seen ever in my life but how their is 100k download,1
Worest app I have never seen in my life pls don't download this waste app I will not work,1
Totally disgusting app,1
Very poor app don't dawnload only useless,1
F***** app Don't download...Not working...Ads only... 0 star,1
Just play ads,1
I don't want to give even one star..this is the worst app I have ever faced,1
Very bad app Worst I give 0 star to this but then I cannot post it so I gave 1 star worst,1
Not Working properly,1
The most useless app in playstore,1
You know people don't have patience to wait for a file to open after whole 10 mins,2
Worst app ever used & I always feel sorry while using this app.,1
This app for seeing adsğŸ˜¡ğŸ˜¡,1
I'm only seeing numbers..not worth it!!!!,1
Doesn't work at allğŸš®ğŸš®,1
Worst app ever,1
"I'm sure this ap is fine and dandy, but it didn't have what I needed.",4
It still needs a lot of improvements.,1
Very bad apps,1
Worst app my documents are shown in this,1
I hate this app. It won't open my game This game should be banned,1
Very disappointed and disaster app,1
Very Bad app i downloaded for my study,1
Worst app I ever saw go and die the app opraters... don't download,1
Wow. This is d best so far I've seen. I rate it 5star,5
An extremely third class app,1
"911 forces me to go to someone's house that has woke me up every morning since I was forced to come to they house. 911 said they shine bright in. APD News needs a comic strip this is funny. TPD shines bright, I was wondering how much for ticks at there comedy's performance show?",5
"Worst app , I ever seen on Google play store",1
Useless app. Don't download..,1
Very Very sorry this application is bad,1
It is totally useless,1
So incompetent and a waste of time,1
Baqwaas tareen app in the world Time wasting Internet wasting No file opening,5
Worst file viewer ever seen. I,1
No this nice app and useless app ğŸ˜Š,1
Cant even open bin above 5mb,1
This is the worst app i ever seen,1
Just remove this trash from GP store,1
Fake app... Just adverts,1
Cool and works fine,5
Worst app ever don't download this,1
Please do not install this app,1
Use less you fellow developer is use less,1
Not open bin file,5
Add after add after add !!,1
Very bad app.,1
This aap is very worst. I lost my time,1
Unable to use,1
superb file opener,5
Wrost experience to use this app,1
Worst app don't download it,1
Such a worst app ever downloaded,1
Lied to me,1
The most worst app. ğŸ¤”,1
Doesn't work,1
It's works fine,5
Very goooooooooooooood app,5
It doesn't work...,1
It very bad So I honestly give 5 star,5
Doesn't open anything,1
Wast of money and time,1
It's works fine,5
Very bad app,1
Bad app useless app,1
Worst App have ever seen,1
Faltu .....app ....dont download Bhikarchot app,1
You don't deserve that little star,1
Zero is not an option else i would have given it,1
I love this app ğŸ˜,5
Don't download this stupid app,1
ver bad and usless,1
Worst file opener,1
Very worst app,1
Doesn't open ANYTHING.,1
nice app wow ğŸ¤©ğŸ¤©ğŸ¤©,5
I would give it negative stars,1
Worst app i ever used ğŸ˜–ğŸ˜–,2
No permission granted ğŸ¥±,1
This app is waste,1
I'd give it a 0 if I could.,1
This was useless,1
I think it's good ğŸ‘,5
All abt numbers @.@,1
"Itni bakwaass , there's nothing inside it ğŸ¥´",1
uuuuuu Madan madam madam madan,5
Very bad,1
Too useless,1
PerfectğŸ’¥,5
Nice,5
Very stupid,1
Useless app,1
Worst,1
"Ye koi kaam ka nahi hai, jisko beautify karke dikhana chahiye oosko as it is dikha raha hai, aise hi dekhna hoga hame to app ki kya jarurat",1
Wow superb app..kitne saal se mera file kisi app me bhi open nahi ho rahata sab app try kiya iss app me open ho gaya i.love â¤ğŸ˜˜,5
Sabse bekar app hai ğŸ˜ ğŸ˜ ,1
Useless app,1
Trash app,1
Very bad,1
Spam..,1
Waste,1
The worst,1
0. Avoid,1
file sampah,1
Wrost application,1
Not working,1
Bogas app,1
Not working,1
Ø±ÛŒØ¯Ù‡,1
Ghatiya,1
ğŸ‘ğŸ‘ğŸ‘,1
You i,5
1280x1024,5
0 star,1
Garbage!,1
Good,5
Madar chood app ha sala bhe n ka loda mother funikin appp,1
Bad appppppppp,1
Worst app,1
Pure bs,1
Bakvas,1
Awful,1
Cant work,1
Worst app,1
Fake,1
uselss,1
Useless,1
Faltu application,1
ok,5
Just ads dikhate hai bas kuch nahi select file wala khul jaata hai,1
Parece que tem um aplicativo dentro desse crapware cheio de ads,1
Bhakk saale bakwas app banata hai,1
Vvvvv. Goood,5
Good application,1
Good,4
works fine,5
Not recommended....,1
Worst app..,1
Good App,5
Apk Best,5
Very bad...,1
Easy,5
I love,5
Best,5
Best,5
Good,5
Worst app,1
Worst App,1
Worst experience,1
Very bad,1
Stupid app,1
Worst app,1
Fake app,1
Worst application,1
Fake,1
Crashes,1
Fake,1
Waste,1
Jutta me ghu lagak tab marunga iss app banane wala koğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡,1
Not working,1
Gud,2
Bekar,1
ğŸ˜’ğŸ˜’,1
Sure ok,5
Byy,5
Ok,5
ğŸ‘,1
